id_requisito,tipo,prioridad_moscow,historia_usuario,caso_de_uso,modulo_codigo,endpoint_api,prueba_automatizada,tipo_acceso,evidencia_empirica,estado
REQ-F-012,funcional,Must,"HU-F03 (Panama, inferida — el mismo componente cubre creación y listado, no hay HU dedicada solo a listar)",CU-F03 (Panama),ReservacionController/ReservacionService,GET /api/v1/reservaciones/usuario/{id},ReservacionServiceTest.listarPorUsuario_cuandoLectorPideOtroUsuario_lanzaAccesoDenegado,CRUD-ORM,docs/mediciones/frontend/2026-07-30-flujo-frontend-prestamos-reservaciones-multas-e2e.md,verificado
REQ-F-013,funcional,Must,HU-F01 (Panama),CU-F01 (Panama),MultaController/MultaService + MultasComponent,GET /api/v1/multas/usuario/{id},MultaServiceTest.listarPorUsuario_cuandoLectorPideOtroUsuario_lanzaAccesoDenegado; multas.component.spec.ts (2 tests),CRUD-ORM,docs/mediciones/frontend/2026-07-30-flujo-frontend-prestamos-reservaciones-multas-e2e.md,verificado
REQ-F-014,funcional,Must,HU-04 (Cajas),CU-04 (Cajas),MultaController/MultaService,POST /api/v1/multas/{id}/pago,MultaServiceTest.pagar_invocaProcedimientoYRetornaDTO; .pagar_conOtrasMultasPendientes_noDesbloqueaUsuario; PrestamoMultaProcedureIntegrationTest.pagarMulta_unicaPendiente_desbloqueaUsuario,SP (sp_pagar_multa),docs/mediciones/backend/2026-07-29-flujo-prestamo-devolucion-multa-e2e.md,verificado
REQ-F-015,funcional,Must,HU-05 (Cajas),CU-05 (Cajas),MultaController/MultaService,POST /api/v1/multas/{id}/anulacion,MultaServiceTest.anular_conRolGerente_resuelveRolDesdeAuthentication; .anular_conRolAdmin_resuelveRolAdmin; .anular_sinRolGerenteOAdmin_lanzaAccesoDenegado; PrestamoMultaProcedureIntegrationTest.anularMulta_* (2 tests),SP (sp_anular_multa),docs/mediciones/backend/2026-07-29-flujo-prestamo-devolucion-multa-e2e.md,verificado
REQ-F-016,funcional,Must,HU-F04 (Panama),CU-F04 (Panama),PrestamosGestionComponent (frontend),"POST /api/v1/prestamos; POST /api/v1/prestamos/{id}/devolucion (mismos endpoints que REQ-F-007/REQ-F-008, capa UI)",prestamos-gestion.component.spec.ts (2 tests),"N/A (capa UI, sin acceso directo a BD)",docs/mediciones/frontend/2026-07-30-flujo-frontend-prestamos-reservaciones-multas-e2e.md,verificado
REQ-NF-001,no funcional,Must,HU-AUTH-03,CU-AUTH-03,AuthService/JwtService (ADR-003),POST /api/auth/logout,AuthServiceTest.logoutGuardaTokenEnBlacklist,"N/A (Redis, no BD)",docs/mediciones/sec/2026-07-30-owasp-a09-fix-logging-autenticacion.md,verificado
REQ-NF-002,no funcional,Must,HU-AUTH-04,CU-AUTH-04,AuthController/AuthService (adr-007-cookies-jwt.md),POST /api/auth/login; POST /api/auth/refresh; POST /api/auth/logout,AuthServiceTest.refreshConTokenValido,CRUD-ORM,docs/mediciones/sec/2026-07-21-cookie-refresh-token.md,verificado
REQ-NF-003,no funcional,Should,"— (requisito a nivel de configuración, ver CU-LIB-01)",CU-LIB-01,LibroService (adr-008-ttl-cache-libros.md),GET /api/v1/libros,—,CRUD-ORM (dato subyacente) + cache Redis (TTL configurable),docs/mediciones/sec/2026-07-21-cache-libros-ttl.md,implementado
REQ-NF-004,no funcional,Must,"HU-01 (Cajas, lado SP); HU-AUTH-06 (Marlon, lado ORM)",CU-01 (Cajas); CU-AUTH-06 (Marlon),transversal: PrestamoService/MultaService/ReservacionService (SP) + AuthService (ORM) (adr-013-acceso-datos-orm-sp.md),N/A (decisión de arquitectura transversal),"PrestamoMultaProcedureIntegrationTest (6 tests, SP real); AuthServiceTest (8 tests, ORM)","Híbrido: SP (préstamos/multas/reservaciones complejas) + CRUD-ORM (auth/libros/bitácora, CRUD de una sola tabla)",docs/mediciones/backend/2026-07-29-flujo-prestamo-devolucion-multa-e2e.md,verificado
REQ-NF-005,no funcional,Should,"— (decisión de build/infra, ADR-006, sin HU de usuario final)",—,db/schema.sql + db/seed.sql + Flyway (adr-006-estrategia-schema-reproducible.md),N/A,—,"N/A (esquema/infraestructura, no aplica CRUD-ORM/SP)",—,implementado
REQ-NF-006,no funcional,Must,HU-AUTH-05,CU-AUTH-05,LoginRateLimiter,POST /api/auth/login,LoginRateLimiterTest (6 tests); AuthServiceTest.login*RateLimit* (3 tests),"N/A (Redis, no BD)",docs/mediciones/sec/2026-07-30-owasp-a07-fix-rate-limiting-login.md,verificado
REQ-NF-007,no funcional,Must,HU-AUTH-06,CU-AUTH-06,AuthService/BitacoraAuditoriaRepository,POST /api/auth/login; POST /api/auth/logout,AuthServiceTest.loginExitosoReseteaContadorDeRateLimit; .loginFallidoIncrementaContadorDeRateLimit; .logoutGuardaTokenEnBlacklist (verifican bitacoraAuditoriaRepository.save()),CRUD-ORM,docs/mediciones/sec/2026-07-30-owasp-a09-fix-logging-autenticacion.md,verificado
REQ-NF-008,no funcional,Must,"— (decisión arquitectónica, ADR-011, sin HU de usuario final)",—,toda la capa de persistencia (adr-011-gestor-base-datos.md),N/A,"PrestamoMultaProcedureIntegrationTest (corre contra Postgres real, no contra un mock)",N/A (elección de motor de base de datos),—,implementado
REQ-NF-009,no funcional,Must,"— (decisión arquitectónica, ADR-012, sin HU de usuario final)",—,docker-compose.yml + Dockerfiles (adr-012-estrategia-despliegue.md),N/A,—,N/A,—,implementado
REQ-NF-010,no funcional,Must,HU-AUTH-07,CU-AUTH-07,Spring Security (@PreAuthorize) + SPs (defensa en profundidad) (adr-010-autenticacion-jwt-rbac.md),transversal (todos los endpoints con @PreAuthorize),MultaServiceTest.anular_sinRolGerenteOAdmin_lanzaAccesoDenegado; .listarPorUsuario_cuandoLectorPideOtroUsuario_lanzaAccesoDenegado (+ patrones equivalentes en Prestamo/ReservacionServiceTest),"N/A (control de acceso, no patrón de acceso a datos)",docs/mediciones/sec/2026-07-30-owasp-a01-control-acceso-roto.md,verificado
REQ-NF-011,no funcional,Must,HU-AUTH-07,CU-AUTH-07,transversal (@PreAuthorize + AuthorizationDeniedException handler),transversal,MultaServiceTest.anular_sinRolGerenteOAdmin_lanzaAccesoDenegado,N/A,docs/mediciones/sec/2026-07-30-owasp-a01-control-acceso-roto.md,verificado
REQ-NF-012,no funcional,Must,"— (gap conocido, TLS diferido a Entrega Final, sin HU de usuario final)",—,"N/A (transporte, fuera de la capa de aplicación)",N/A,—,N/A,docs/mediciones/sec/2026-07-30-owasp-a02-fallo-criptografico.md,pendiente
REQ-NF-013,no funcional,Must,HU-01 (Cajas); HU-LIB-02 (Marlon),CU-01 (Cajas); CU-LIB-02 (Marlon),transversal (JPA parametrizado + SPs con parámetros tipados),transversal,"— (verificación manual puntual durante la auditoría original, sin test de regresión permanente en el suite)","Híbrido: SP + CRUD-ORM (ambos parametrizados, sin concatenación de SQL)",docs/mediciones/sec/2026-07-30-owasp-a03-inyeccion.md,implementado
REQ-NF-014,no funcional,Must,"— (gap conocido, CSP no configurado, sin HU de usuario final)",—,SecurityConfig / frontend-angular/nginx.conf,N/A,—,N/A,docs/mediciones/sec/2026-07-30-owasp-a05-mala-configuracion-seguridad.md,pendiente
